Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
30,Kyren Williams   LAR (11),RB15,28,28,32,29.3,26  +4
31,Javonte Williams   DAL (14),RB16,33,32,28,31.0,33  -2
32,Malik Nabers   NYG (8),WR13,34,36,30,33.3,32
33,Breece Hall   NYJ (13),RB17,36,31,33,33.3,35  -2
34,DeVonta Smith   PHI (10),WR14,27,38,37,34.0,28  +6
35,Cam Skattebo   NYG (8),RB18,40,39,34,37.7,40  -5
36,Lamar Jackson   BAL (13),QB2,35,37,43,38.3,39  -3
37,Tee Higgins   CIN (6),WR15,32,34,50,38.7,34  +3
38,Tetairoa McMillan   CAR (5),WR16,39,33,44,38.7,43  -5
39,Zay Flowers   BAL (13),WR17,37,46,36,39.7,36  +3
40,Travis Etienne Jr.   NO (8),RB19,41,40,39,40.0,41  -1
41,Emeka Egbuka   TB (10),WR18,43,45,35,41.0,37  +4
42,Garrett Wilson   NYJ (13),WR19,48,35,45,42.7,47  -5
43,Colston Loveland   CHI (10),TE3,38,44,46,42.7,38  +5
44,Bucky Irving   TB (10),RB20,51,41,42,44.7,54  -10
45,Ladd McConkey   LAC (7),WR20,44,42,48,44.7,44  +1
46,Quinshon Judkins   CLE (11),RB21,53,50,40,47.7,48  -2
47,Luther Burden III   CHI (10),WR21,57,47,41,48.3,55  -8
48,Jaylen Waddle   DEN (10),WR22,42,49,54,48.3,42  +6
49,TreVeyon Henderson   NE (11),RB22,58,43,51,50.7,59  -10
50,David Montgomery   HOU (8),RB23,54,53,47,51.3,49  +1
51,DJ Moore   BUF (7),WR23,64,54,38,52.0,60  -9
52,Tyler Warren   IND (13),TE4,47,51,58,52.0,45  +7
53,Drake Maye   NE (11),QB3,46,55,57,52.7,50  +3
54,Joe Burrow   CIN (6),QB4,45,59,55,53.0,53  +1
55,Terry McLaurin   WAS (7),WR24,55,48,56,53.0,52  +3
56,D'Andre Swift   CHI (10),RB24,49,60,52,53.7,46  +10
57,Bhayshul Tuten   JAC (7),RB25,60,56,49,55.0,56  +1
58,Davante Adams   LAR (11),WR25,50,57,63,56.7,51  +7
59,Jameson Williams   DET (6),WR26,61,52,59,57.3,66  -7
60,Jayden Daniels   WAS (7),QB5,52,65,61,59.3,57  +3
61,Jadarian Price   SEA (11),RB26,65,63,53,60.3,61
62,Mike Evans   SF (8),WR27,63,58,60,60.3,63  -1
63,Jalen Hurts   PHI (10),QB6,56,70,65,63.7,58  +5
64,Rome Odunze   CHI (10),WR28,67,62,62,63.7,67  -3
65,Christian Watson   GB (11),WR29,68,64,68,66.7,62  +3
66,Harold Fannin Jr.   CLE (11),TE5,70,68,64,67.3,71  -5
67,Tucker Kraft   GB (11),TE6,59,69,76,68.0,64  +3
68,Jaylen Warren   PIT (9),RB27,73,67,67,69.0,69  -1
69,Carnell Tate   TEN (9),WR30,75,61,80,72.0,73  -4
70,Brian Thomas Jr.   JAC (7),WR31,81,66,71,72.7,79  -9
71,Kyle Pitts Sr.   ATL (11),TE7,72,75,77,74.7,75  -4
72,Rhamondre Stevenson   NE (11),RB28,78,74,73,75.0,72
73,Caleb Williams   CHI (10),QB7,69,88,75,77.3,68  +5
74,Sam LaPorta   DET (6),TE8,62,79,92,77.7,65  +9
75,Chuba Hubbard   CAR (5),RB29,71,73,89,77.7,78  -3
76,RJ Harvey   DEN (10),RB30,97,71,66,78.0,94  -18
77,Marvin Harrison Jr.   ARI (14),WR32,76,76,82,78.0,76  +1
78,Rico Dowdle   PIT (9),RB31,82,86,69,79.0,82  -4
79,Justin Herbert   LAC (7),QB8,66,87,87,80.0,74  +5
80,Tony Pollard   TEN (9),RB32,85,83,74,80.7,77  +3
81,Parker Washington   JAC (7),WR33,87,81,81,83.0,70  +11
82,Dak Prescott   DAL (14),QB9,74,97,79,83.3,80  +2
83,DK Metcalf   PIT (9),WR34,84,78,91,84.3,81  +2
84,Trevor Lawrence   JAC (7),QB10,83,94,78,85.0,86  -2
85,Kyle Monangai   CHI (10),RB33,92,80,84,85.3,93  -8
